"","PlayerName","pos","points","value"
"43","Carson Palmer","qb",273.608,14.3296247540908
"162","Jeremy Langford","rb",128.92,14.2496725902587
"491","Allen Hurns","wr",80.5,14.2432764171521
"164","Frank Gore","rb",127.325,13.2294829797608
"493","Michael Crabtree","wr",78.87,13.2007002007813
"492","Devante Parker","wr",78.865,13.197502114228
"44","Blake Bortles","qb",271.198,12.7881470354075
"4","Justin Tucker","k",148.3,12.3851881296937
"2","Mason Crosby","k",147.2,11.681609087971
"3","Steven Hauschka","k",146.6,11.2978387015769
"166","Melvin Gordon","rb",123.65,10.8788893630966
"495","Stefon Diggs","wr",74.93,10.6806079967929
"494","Torrey Smith","wr",74.72,10.5462883615549
"45","Tyrod Taylor","qb",267.618,10.4983170632557
"5","Graham Gano","k",144.4,9.89068061813158
"332","Delanie Walker","te",72.665,9.81392654085274
"46","Philip Rivers","qb",265.624,9.22292014580574
"334","Coby Fleener","te",71.69,9.19029966296221
"6","Chris Boswell","k",143.3,9.18710157640894
"47","Eli Manning","qb",265.39,9.07324969511199
"333","Travis Kelce","te",71.16,8.85130248831403
"7","Dan Bailey","k",142.5,8.67540772788337
"496","Marvin Jones","wr",71.775,8.66261538167024
"9","Josh Brown","k",141.9,8.29163734148921
"168","Ameer Abdullah","rb",119.245,8.06137510965271
"8","Chandler Catanzaro","k",141.3,7.90786695509504
"504","Tavon Austin","wr",70.58,7.89827269543518
"498","Tyler Lockett","wr",70.565,7.88867843577532
"497","Kevin White","wr",70.335,7.74156645432423
"10","Blair Walsh","k",140.8,7.58805829976657
"337","Tyler Eifert","te",68.155,6.9292524697899
"335","Antonio Gates","te",67.815,6.71178258416654
"169","Rashad Jennings","rb",116.3,6.177702129768
"336","Gary Barnidge","te",66.94,6.15211743734171
"11","Brandon McManus","k",138.3,5.9890150231242
"499","Vincent Jackson","wr",67.145,5.70118723332856
"165","Giovani Bernard","rb",115.3,5.53808481911105
"48","Andy Dalton","qb",259.37,5.22275348495717
"338","Ladarius Green","te",64.93,4.86648664292125
"49","Kirk Cousins","qb",258.508,4.67140336317087
"501","Sterling Shepard","wr",65.175,4.44114113133438
"500","Willie Snead","wr",65.075,4.37717940026869
"50","Matthew Stafford","qb",257.538,4.05097457183365
"339","Jimmy Graham","te",63.495,3.94863580212852
"12","Adam Vinatieri","k",135.1,3.94223962902196
"503","Markus Wheaton","wr",64.055,3.7247697433986
"15","Robbie Gould","k",134.7,3.68639270475917
"13","Cairo Santos","k",134.3,3.43054578049641
"170","Arian Foster","rb",111.86,3.33780127045115
"51","Jameis Winston","qb",256.206,3.1990043140386
"173","T.J. Yeldon","rb",111.585,3.16190651002049
"502","Steve Smith","wr",63.045,3.07875625963508
"14","Mike Nugent","k",133.7,3.04677539410223
"340","Jason Witten","te",60.645,2.12572646675623
"176","LeGarrette Blount","rb",109.74,1.98181257185841
"343","Zach Miller","te",60.385,1.95942596598542
"342","Julius Thomas","te",60.185,1.83150250385403
"506","Terrance Williams","wr",60.98,1.75794651312848
"344","Dwayne Allen","te",60.04,1.73875799380877
"52","Tony Romo","qb",252.768,1
"17","Matt Prater","k",130.5,1
"174","Isaiah Crowell","rb",108.205,1
"505","Corey Coleman","wr",59.795,1
"341","Zach Ertz","te",58.885,1
